2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for expenseID
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property expenseID
2021-03-14 12:25:53 DEBUG BinderHelper:643 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(expense_id)]), expenseID, identity, , ...)
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(expense), mappingColumn=amount, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property amount with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Expense:amount]
2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for amount
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property amount
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(expense), mappingColumn=date_approved_denied, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property dateApprovedDenied with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Expense:dateApprovedDenied]
2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for dateApprovedDenied
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property dateApprovedDenied
2021-03-14 12:25:53 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(expense), mappingColumn=date_submitted, insertable=true, updatable=true, unique=false}
2021-03-14 12:25:53 DEBUG PropertyBinder:175 - MetadataSourceProcessor property dateSubmitted with lazy=false
2021-03-14 12:25:53 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [dev.bennett.entities.Expense:dateSubmitted]
2021-03-14 12:25:53 DEBUG SimpleValueBinder:410 - building SimpleValue for dateSubmitted
2021-03-14 12:25:53 DEBUG PropertyBinder:266 - Building property dateSubmitted
